Round1:____________________________
1:8 11__40
Round2:____________________________
2:4 11__48
2:7 13__43
2:10 12__16
2:5 11__9
2:9 13__4
2:6 10__0
2:6 12__0
2:8 14__0
2:9 9__0
2:10 10__0
2:11 11__0
Round3:____________________________
3:4 15__108
3:11 12__40
3:3 14__33
3:2 13__29
3:2 11__0
3:3 10__0
3:3 12__0
3:4 9__0
3:5 15__0
3:6 15__0
3:7 15__0
3:8 14__0
3:9 9__0
3:9 14__0
3:10 10__0
3:10 14__0
3:11 11__0
3:11 13__0
Round4:____________________________
4:10 16__152
4:4 19__49
4:1 17__43
4:9 16__33
4:0 15__1
4:4 18__1
4:2 11__0
4:2 12__0
4:2 16__0
4:2 17__0
4:2 18__0
4:3 10__0
4:3 15__0
4:4 9__0
4:4 16__0
4:4 17__0
4:0 14__0
4:5 15__0
4:5 17__0
4:6 15__0
4:6 17__0
4:7 15__0
4:8 14__0
4:9 9__0
4:9 14__0
4:1 13__0
4:10 10__0
4:10 14__0
4:1 16__0
4:11 11__0
4:11 13__0
4:11 16__0
4:12 12__0
Round5:____________________________
5:4 21__156
5:3 22__65
5:3 20__59
5:9 20__48
5:1 13__0
5:1 18__0
5:2 11__0
5:2 12__0
5:0 14__0
5:2 17__0
5:2 18__0
5:3 10__0
5:3 15__0
5:2 16__0
5:4 9__0
5:4 16__0
5:4 17__0
5:4 18__0
5:4 19__0
5:4 22__0
5:5 15__0
5:5 17__0
5:5 18__0
5:5 19__0
5:5 20__0
5:5 22__0
5:6 15__0
5:6 17__0
5:7 15__0
5:7 17__0
5:7 19__0
5:8 14__0
5:8 17__0
5:8 18__0
5:8 19__0
5:9 9__0
5:9 14__0
5:9 16__0
5:0 18__0
5:10 10__0
5:10 14__0
5:10 16__0
5:10 20__0
5:11 11__0
5:11 13__0
5:11 16__0
5:11 19__0
5:12 12__0
Round6:____________________________
6:1 13__141
6:0 22__141
6:1 24__87
6:1 25__1
6:0 14__0
6:0 18__0
6:0 20__0
6:1 18__0
6:1 20__0
6:1 23__0
6:2 11__0
6:2 12__0
6:2 16__0
6:2 17__0
6:2 18__0
6:2 20__0
6:3 10__0
6:3 15__0
6:3 20__0
6:4 9__0
6:4 16__0
6:4 17__0
6:4 18__0
6:4 19__0
6:5 15__0
6:5 17__0
6:5 18__0
6:5 19__0
6:5 20__0
6:6 15__0
6:6 17__0
6:6 21__0
6:7 15__0
6:7 17__0
6:7 19__0
6:7 20__0
6:8 14__0
6:8 17__0
6:8 18__0
6:9 9__0
6:9 14__0
6:9 16__0
6:10 10__0
6:10 14__0
6:10 16__0
6:10 20__0
6:11 11__0
6:11 13__0
6:11 16__0
6:11 19__0
6:12 12__0
Round7:____________________________
7:0 26__182
7:4 9__181
7:3 10__1
7:0 12__0
7:0 19__0
7:1 12__0
7:1 18__0
7:1 20__0
7:2 11__0
7:2 16__0
7:2 17__0
7:2 18__0
7:2 20__0
7:3 15__0
7:3 20__0
7:4 16__0
7:4 17__0
7:4 18__0
7:4 19__0
7:5 15__0
7:5 17__0
7:5 18__0
7:5 19__0
7:5 20__0
7:6 15__0
7:6 17__0
7:6 21__0
7:7 15__0
7:7 17__0
7:7 19__0
7:7 20__0
7:8 14__0
7:8 17__0
7:8 18__0
7:9 9__0
7:9 14__0
7:9 16__0
7:10 10__0
7:10 14__0
7:10 16__0
7:11 11__0
7:11 13__0
7:11 16__0
7:12 12__0
Round8:____________________________
8:13 12__105
8:0 19__0
8:1 12__0
8:1 18__0
8:1 20__0
8:2 11__0
8:2 16__0
8:2 17__0
8:2 18__0
8:2 20__0
8:3 10__0
8:3 15__0
8:3 20__0
8:4 9__0
8:4 16__0
8:4 17__0
8:4 18__0
8:4 19__0
8:5 15__0
8:5 17__0
8:5 18__0
8:5 19__0
8:5 20__0
8:6 15__0
8:6 17__0
8:6 21__0
8:7 15__0
8:7 17__0
8:7 19__0
8:7 20__0
8:8 14__0
8:8 17__0
8:8 18__0
8:0 12__0
8:9 14__0
8:9 16__0
8:10 10__0
8:10 14__0
8:9 9__0
8:11 11__0
8:11 13__0
8:11 16__0
8:12 12__0
8:10 16__0
Round9:____________________________
9:13 10__504
9:0 19__0
9:1 12__0
9:1 18__0
9:1 20__0
9:2 11__0
9:2 16__0
9:2 17__0
9:2 18__0
9:2 20__0
9:3 10__0
9:3 15__0
9:3 20__0
9:4 9__0
9:4 16__0
9:4 17__0
9:4 18__0
9:4 19__0
9:5 15__0
9:5 17__0
9:5 18__0
9:5 19__0
9:5 20__0
9:6 15__0
9:6 17__0
9:6 21__0
9:7 15__0
9:7 17__0
9:7 19__0
9:7 20__0
9:8 14__0
9:8 17__0
9:8 18__0
9:9 9__0
9:9 14__0
9:9 16__0
9:10 10__0
9:10 14__0
9:10 16__0
9:11 11__0
9:11 13__0
9:11 16__0
9:12 12__0
9:0 12__0
9:13 11__0
Round10:____________________________
10:17 9__5
10:12 12__5
10:1 12__0
10:1 18__0
10:1 20__0
10:2 11__0
10:2 16__0
10:2 17__0
10:2 18__0
10:2 20__0
10:3 10__0
10:3 15__0
10:3 20__0
10:4 9__0
10:4 16__0
10:4 17__0
10:4 18__0
10:4 19__0
10:5 15__0
10:5 17__0
10:5 18__0
10:5 19__0
10:5 20__0
10:6 15__0
10:6 17__0
10:6 21__0
10:7 15__0
10:7 17__0
10:7 19__0
10:7 20__0
10:8 14__0
10:8 17__0
10:8 18__0
10:9 9__0
10:9 14__0
10:9 16__0
10:10 10__0
10:10 14__0
10:0 12__0
10:11 11__0
10:11 13__0
10:11 16__0
10:0 19__0
10:13 10__0
10:10 16__0
10:15 11__0
10:16 10__0
10:16 12__0
10:17 7__0
10:17 8__0
10:13 11__0
Round11:____________________________
11:0 12__0
11:0 19__0
11:1 12__0
11:1 18__0
11:1 20__0
11:2 11__0
11:2 16__0
11:2 17__0
11:2 18__0
11:2 20__0
11:3 10__0
11:3 15__0
11:3 20__0
11:4 9__0
11:4 16__0
11:4 17__0
11:4 18__0
11:4 19__0
11:5 15__0
11:5 17__0
11:5 18__0
11:5 19__0
11:5 20__0
11:6 15__0
11:6 17__0
11:6 21__0
